Feature                           , F_score             , F_pvalue               , MI_score            , Lasso_weight          , CV_Accuracy        , ReliefF_score        , Permutation_score, F_score_norm          , MI_score_norm       , Lasso_weight_norm     , CV_Accuracy_norm    , ReliefF_score_norm  , Permutation_score_norm, MeanScore
PL_AAIndex1_66                    , 115.66664743469362  , 3.598089660386723e-130 , 0.5179853716427303  , 0.0                   , 0.33337269214255044, 0.25962087857122856  ,               0.0, 0.984450625945037     , 0.602193227318815   , 0.0                   , 0.9315796050987253  , 0.9505107421941743  ,                    0.0, 0.5781223667594585
PL_CTDT_32                        , 117.4798822772722   , 1.523814255703905e-131 , 0.5034799862165502  , 0.0400438035531083    , 0.3274688707599828 , 0.2529518780767106   ,               0.0, 1.0000000000000002    , 0.5853297301208293  , 0.012698515872804177  , 0.8972131967008248  , 0.9264015956929588  ,                    0.0, 0.5702738397312362
PL_AAIndex1_387                   , 114.64417324249209  , 2.1681927882624925e-129, 0.5268667315704478  , 0.005119713243862947  , 0.32159725203950196, 0.2525292328209418   ,               0.0, 0.975682410541963     , 0.6125184123349299  , 0.00162354107559178   , 0.8630342414396401  , 0.9248736881155415  ,                    0.0, 0.5629553822512777
PL_AAIndex1_110                   , 112.17856319052316  , 1.715306268005772e-127 , 0.5069475030765509  , 0.0                   , 0.320148132245599  , 0.2583224030505124   ,               0.0, 0.9545386005558165    , 0.5893609543271887  , 0.0                   , 0.8545988502874284  , 0.9458166150033124  ,                    0.0, 0.5573858366956244
PL_AAIndex1_445                   , 102.46091613254153  , 9.227526607750128e-120 , 0.5181216921700771  , 0.0                   , 0.31720695577501073, 0.27331045006907234  ,               0.0, 0.8712050325642671    , 0.602351709204225   , 0.0                   , 0.8374781304673831  , 1.0                 ,                    0.0, 0.5518391453726458
PL_AAIndex1_435                   , 109.96220599956035  , 9.16123522279205e-126  , 0.48700660843519117 , 0.013284332865094724  , 0.32012666380420784, 0.258498461276064    ,               0.0, 0.9355322555460996    , 0.5661783079493151  , 0.004212669546320489  , 0.8544738815296178  , 0.9464530842247583  ,                    0.0, 0.5511416997993519
PL_AAIndex1_514                   , 103.38440161526053  , 1.6316306328533388e-120, 0.5430900261155904  , 0.0                   , 0.31865607556891373, 0.2574421346622385   ,               0.0, 0.8791243714540411    , 0.6313790957339612  , 0.0                   , 0.8459135216195952  , 0.9426343511017382  ,                    0.0, 0.5498418899848894
PL_AAIndex1_516                   , 103.86407936132545  , 6.6572701897980235e-121, 0.5394105919545611  , 0.0                   , 0.327490339201374  , 0.2431596576442022   ,               0.0, 0.8832378423207261    , 0.6271015032507788  , 0.0                   , 0.8973381654586354  , 0.8910016767435444  ,                    0.0, 0.5497798646289475
PL_AAIndex1_483                   ,  99.36898468505223  , 3.257742328253661e-117 , 0.4899575057430656  , 0.0                   , 0.3274796049806784 , 0.26910198004037483  ,               0.0, 0.844690210821186     , 0.569608926786445   , 0.0                   , 0.89727568107973    , 0.9847859329818245  ,                    0.0, 0.5493934586115309
PL_AAIndex1_150                   , 101.1770335982542   , 1.0415145696399548e-118, 0.48788804674192665 , 0.0                   , 0.32307857449549165, 0.2696189957843984   ,               0.0, 0.8601951129998064    , 0.5672030399353403  , 0.0                   , 0.8716570857285679  , 0.9866549999171689  ,                    0.0, 0.5476183730968139
BAS_PROP_BAS_PROP_Gravy           , 101.1770335982542   , 1.0415145696399548e-118, 0.48788804674192665 , 0.0                   , 0.32307857449549165, 0.2696189957843984   ,               0.0, 0.8601951129998064    , 0.5672030399353403  , 0.0                   , 0.8716570857285679  , 0.9866549999171689  ,                    0.0, 0.5476183730968139
PL_AAIndex1_70                    ,  96.32985564993868  , 1.15120123134608e-114  , 0.48529412225675994 , 0.0                   , 0.3245384285100902 , 0.27203766430449633  ,               0.0, 0.8186281955440713    , 0.5641874262854992  , 0.0                   , 0.8801549612596851  , 0.995398744011483   ,                    0.0, 0.5430615545167897
PL_AAIndex1_433                   , 110.38974141308744  , 4.23747107350949e-126  , 0.5236465332771374  , 0.0                   , 0.30250107342206956, 0.26057406673085975  ,               0.0, 0.9391985804537006    , 0.6087747127846794  , 0.0                   , 0.7518745313671582  , 0.9539566188293106  ,                    0.0, 0.5423007405724748
PL_AAIndex1_489                   ,  99.66653427902307  , 1.84413637205221e-117  , 0.4949345164230574  , 0.0                   , 0.3260090167453843 , 0.2573431257377965   ,               0.0, 0.8472418438628142    , 0.575395040232621   , 0.0                   , 0.8887153211697076  , 0.942276423303373   ,                    0.0, 0.5422714380947526
PL_AAIndex1_251                   , 100.79902078694404  , 2.133153445932725e-118 , 0.5014049605899253  , 0.0                   , 0.3304315156719622 , 0.2443065250479398   ,               0.0, 0.8569534685847504    , 0.5829173716889616  , 0.0                   , 0.9144588852786804  , 0.895147724457427   ,                    0.0, 0.5415795750016366
PL_AAIndex1_529                   , 100.77527061406374  , 2.231549057066095e-118 , 0.5014792152730148  , 0.0                   , 0.3304315156719622 , 0.2442268975272572   ,               0.0, 0.8567497992566999    , 0.5830036978087734  , 0.0                   , 0.9144588852786804  , 0.8948598624962166  ,                    0.0, 0.5415120408067283
PL_AAIndex1_452                   , 101.21690164176609  , 9.657525861952135e-119 , 0.49421827100863736 , 0.0                   , 0.3186668097896093 , 0.26274146018777533  ,               0.0, 0.8605370009377882    , 0.5745623562201478  , 0.0                   , 0.8459760059985006  , 0.9617919768295847  ,                    0.0, 0.5404778899976702
PL_AAIndex1_129                   ,  94.8842800506057   , 1.945138598078772e-113 , 0.4931163524425113  , 0.0                   , 0.3245384285100902 , 0.26616588276818204  ,               0.0, 0.8062316790030639    , 0.573281300935761   , 0.0                   , 0.8801549612596851  , 0.974171628884036   ,                    0.0, 0.5389732616804243
PL_AAIndex1_446                   , 103.87128767418092  , 6.568308027322791e-121 , 0.5356065928919347  , 0.0                   , 0.3172284242164019 , 0.24288292429843672  ,               0.0, 0.8832996571227931    , 0.622679095596725   , 0.0                   , 0.8376030992251937  , 0.8900012562487017  ,                    0.0, 0.5389305180322356
PL_CTDC_6                         , 102.1919112624995   , 1.5310923327910844e-119, 0.47807400459616733 , 0.0                   , 0.3245706311721769 , 0.25267297397849714  ,               0.0, 0.8688981844667854    , 0.5557935484007532  , 0.0                   , 0.8803424143964007  , 0.9253933276970058  ,                    0.0, 0.5384045791601575
PL_AAIndex1_481                   ,  98.11876342596443  , 3.5961626567157463e-116, 0.47581527858202044 , 0.0                   , 0.32893945899527693, 0.2547848083482248   ,               0.0, 0.8339689531260839    , 0.5531676257732968  , 0.0                   , 0.9057735566108471  , 0.93302783368451    ,                    0.0, 0.537656328199123
PEP_AF1                           , 101.78432961626787  , 3.3024518057553346e-119, 0.480846683859661   , 0.005509661931919973  , 0.33189136968656074, 0.23865188943222448  ,               0.0, 0.8654029728558168    , 0.559016976639099   , 0.0017471998983183477 , 0.9229567608097975  , 0.8747056149415654  ,                    0.0, 0.5373049208574329
PL_AAIndex1_127                   ,  96.76087565655727  , 4.977888867357252e-115 , 0.5081664962433794  , 0.0                   , 0.32603048518677546, 0.24945050219242404  ,               0.0, 0.8223244025387231    , 0.5907781167981752  , 0.0                   , 0.8888402899275183  , 0.9137437492556286  ,                    0.0, 0.5359477597533409
PL_AAIndex1_515                   , 104.06370423921632  , 4.587509923660813e-121 , 0.4904728399184344  , 0.0                   , 0.32454916273078577, 0.23756837903653602  ,               0.0, 0.8849497231119574    , 0.570208037817764   , 0.0                   , 0.8802174456385905  , 0.870788609554219   ,                    0.0, 0.5343606360204217
PL_CTDD_20                        ,  49.649575633629574 , 1.073206791518452e-68  , 0.8570578556472852  , 0.3292932156991071    , 0.3142550450837269 , 0.23605582809244355  ,               0.0, 0.418322003582864     , 0.9963880533042562  , 0.10442402457638816   , 0.8202949262684329  , 0.8653205769259933  ,                    0.0, 0.5341249307763224
PL_CTDD_5                         ,  49.649575633629574 , 1.073206791518452e-68  , 0.8588952910893437  , 0.29213874015726      , 0.3142550450837269 , 0.23605582809244355  ,               0.0, 0.418322003582864     , 0.9985241969859475  , 0.09264175976759886   , 0.8202949262684329  , 0.8653205769259933  ,                    0.0, 0.5325172439218061
PL_AAIndex1_355                   ,  94.0849606457176   , 9.381915122582052e-113 , 0.4820017556124747  , 0.012430851209025626  , 0.3245384285100902 , 0.2593323389696846   ,               0.0, 0.799377124852582     , 0.5603598261184304  , 0.003942017175789135  , 0.8801549612596851  , 0.9494676408282734  ,                    0.0, 0.5322169283724599
PL_AAIndex1_65                    , 101.21802151654205  , 9.637062243007997e-119 , 0.46231458626326205 , 0.0                   , 0.3348540145985402 , 0.23027800167194737  ,               0.0, 0.860546604410751     , 0.5374721526507875  , 0.0                   , 0.9402024493876533  , 0.8444331195409112  ,                    0.0, 0.5304423876650172
PL_AAIndex1_447                   , 101.9976169799905   , 2.2082376534940972e-119, 0.5355133375351842  , 0.0035358458737089053 , 0.31132460283383423, 0.2407016643854325   ,               0.0, 0.8672320161335225    , 0.6225706799013777  , 0.0011212719813574361 , 0.803236690827293   , 0.8821157695340021  ,                    0.0, 0.5293794047295921
PL_AAIndex1_247                   ,  93.31018037489899  , 4.342163165101844e-112 , 0.5318393299832107  , 0.0                   , 0.3289609274366681 , 0.2310136665515529   ,               0.0, 0.7927330057575444    , 0.6182993962203347  , 0.0                   , 0.9058985253686578  , 0.8470926263699762  ,                    0.0, 0.5273372589527522
PL_AAIndex1_488                   ,  99.58788522925941  , 2.1432502651472745e-117, 0.48307775737046743 , 0.0                   , 0.31133533705452987, 0.2595730815641279   ,               0.0, 0.8465673898620829    , 0.5616107513505298  , 0.0                   , 0.8032991752061986  , 0.9503379509269586  ,                    0.0, 0.5269692112242951
PL_AAIndex1_313                   ,  91.7384311506959   , 9.929680888803047e-111 , 0.47752893792859386 , 0.0                   , 0.3260090167453843 , 0.25619449613835804  ,               0.0, 0.7792544887812345    , 0.5551598713248755  , 0.0                   , 0.8887153211697076  , 0.9381240050644993  ,                    0.0, 0.5268756143900528
BAS_REDF_BAS_REDF_D.1             ,  93.9130881578826   , 1.317172570226018e-112 , 0.4818221853650342  , 0.03622646057353087   , 0.33038857878917993, 0.23773339453007802  ,               0.0, 0.7979032343556935    , 0.5601510634916138  , 0.011487976760209344  , 0.9142089477630593  , 0.8713851581242851  ,                    0.0, 0.5258560634158101
PL_AAIndex1_88                    ,  93.91308815788258  , 1.317172570226018e-112 , 0.48201266957992406 , 0.02130210361951835   , 0.33038857878917993, 0.23773339453007805  ,               0.0, 0.7979032343556935    , 0.560372514347946   , 0.006755229946571241  , 0.9142089477630593  , 0.8713851581242852  ,                    0.0, 0.5251041807562592
PL_CTDD_190                       ,  49.649575633629574 , 1.073206791518452e-68  , 0.8548572578803086  , 0.16497014810756436   , 0.3142550450837269 , 0.23605582809244355  ,               0.0, 0.418322003582864     , 0.9938297087179534  , 0.05231461195998582   , 0.8202949262684329  , 0.8653205769259933  ,                    0.0, 0.5250136379092049
