Feature,MI_score
PL_CTDD_115,0.8628859588950326
PL_CTDD_5,0.8612790591749113
PL_CTDD_190,0.8609694251236535
PL_CTDD_165,0.8589271495425339
PL_CTDD_95,0.8587855569522773
PL_CTDD_85,0.8582275777402568
PL_CTDD_155,0.8578132934678395
PL_CTDD_20,0.8572400382595644
PL_CTDD_40,0.8563479998014945
PL_CTDD_55,0.8534122119042373
PL_CTDD_145,0.852767601877964
PL_CTDD_70,0.8516588778993053
PL_CTDD_120,0.849881581833519
MolecularWeight,0.8090192754152365
PL_ATC_bonds_0,0.8036044590137092
PL_ATC_bonds_1,0.7955926466361216
PL_ATC_bonds_2,0.763011488338913
PL_SOCN_Grantham_0,0.7523409422150258
PL_SOCN_Grantham_2,0.7504301016342048
PL_SOCN_Grantham_1,0.7472696813799757
PL_SOCN_SW_0,0.7203073989808444
PL_SOCN_SW_2,0.7101660027528052
PL_APAAC_18,0.6999959483642115
PL_SOCN_SW_1,0.699384763474943
PL_CTDD_90,0.6948217586636507
PL_APAAC_10,0.6631955337362752
PL_APAAC_1,0.651613922909057
PL_CTDD_15,0.6286390063418104
PL_APAAC_2,0.6235772841895453
PL_PAAC_5,0.5968916716706727
PL_CTDD_105,0.5898093756417899
PL_APAAC_5,0.5826188988745074
PL_APAAC_17,0.5815940703528883
PL_PAAC_10,0.577439188923512
PL_PAAC_2,0.5729392875449095
PL_PAAC_1,0.5681460416002055
PL_APAAC_8,0.5638077594717892
PL_PAAC_18,0.563585957061612
PL_PAAC_3,0.5608126691752466
PL_CTDD_30,0.5567311919766178
PL_APAAC_19,0.5550431257140507
PL_APAAC_3,0.5517871849225293
PL_APAAC_6,0.550762158731605
PL_PAAC_17,0.5504440346612953
PL_APAAC_13,0.5479753187446756
PL_AAIndex1_426,0.5454484209569266
PL_APAAC_9,0.5431817935772112
PL_AAIndex1_514,0.5430900261155904
PL_AAIndex1_353,0.5405792615278044
PL_AAIndex1_516,0.5394105919545611
PL_CTDD_180,0.5392810972566875
CW,0.5371915354906402
PL_AAIndex1_446,0.5356065928919347
PL_AAIndex1_447,0.5355133375351842
PL_AAIndex1_56,0.5345019400293807
PL_PAAC_9,0.5329666667559012
PL_CTDD_80,0.5329093283156565
BLOSUM1,0.5324031266530835
PL_AAIndex1_247,0.5318393299832107
PL_AAIndex1_448,0.5292204773543125
PL_AAIndex1_526,0.5290147930192082
PL_AAIndex1_387,0.5268667315704478
PL_AAIndex1_147,0.5258967466072324
PL_APAAC_16,0.5245695426946528
PL_AAIndex1_433,0.5240950005497722
PL_PAAC_8,0.5181864799437963
PL_AAIndex1_445,0.5181216921700771
PL_AAIndex1_66,0.5179853716427303
PL_QSO_SW_1,0.5178034661578339
PL_CTDT_15,0.5176017257075438
PL_AAIndex1_148,0.5148596563569274
VHSE1,0.5129978375136455
PL_AAIndex1_177,0.5117034507201104
PL_APAAC_12,0.5114966848109788
PL_CTDD_135,0.5110542512762768
Flexibility,0.5096884311036027
PL_AAIndex1_127,0.5081664962433794
PL_CTDD_125,0.5080765985572739
PL_CTDD_45,0.5079645067301688
PL_CTDD_140,0.5078064250667196
PL_PAAC_15,0.5077968174803669
PL_APAAC_15,0.5076295953677672
PL_AAIndex1_110,0.5069475030765509
PL_AAIndex1_214,0.506459414688913
PL_CTDD_60,0.5052939353647807
PL_AAIndex1_210,0.5051862732404753
PL_CTDT_32,0.5031372931103331
PL_PAAC_13,0.5030495651040852
PL_CTDD_185,0.5030313829234685
PL_CTDD_130,0.5019389832295547
PL_AAIndex1_529,0.5014792152730148
PL_AAIndex1_209,0.5014504457820022
PL_AAIndex1_251,0.5014049605899253
PL_AAIndex1_181,0.5013425024963771
PL_CTDD_75,0.5013098971206564
PL_APAAC_0,0.5011013217986897
PL_AAIndex1_527,0.5007876829906626
PL_AAIndex1_146,0.5002768962088124
PL_PAAC_12,0.5002358197163934
PL_AAIndex1_9,0.4996659687749623
PL_AAIndex1_476,0.4984208713546643
PL_APAAC_11,0.4976142942495194
PL_AAIndex1_424,0.49694219558458785
PL_AAIndex1_399,0.49689219621521685
PL_APAAC_14,0.49640571748467766
PL_AAIndex1_489,0.495029637315767
PL_AAIndex1_452,0.49421827100863736
PL_CTDD_0,0.4934274840862307
PL_AAIndex1_129,0.4931163524425113
PL_AAIndex1_242,0.4919702121527081
PL_AAIndex1_34,0.4907054270217963
PL_AAIndex1_515,0.49065639351608503
PL_AAIndex1_483,0.4899575057430656
PL_AAIndex1_326,0.48967515253155325
PL_AAIndex1_183,0.4895726459191567
ProtFP1,0.4892572369926933
PL_AAIndex1_461,0.4883929650196661
PL_AAIndex1_150,0.48788804674192665
Gravy,0.48788804674192665
PL_AAIndex1_10,0.4878529637264286
PL_AAIndex1_435,0.48711187693958546
PL_AAIndex1_518,0.48654249649687253
PL_AAIndex1_70,0.48529412225675994
PL_AAIndex1_501,0.4847661501248002
PL_AAIndex1_86,0.4844987678940793
PRIN1,0.48353416996009324
PL_PAAC_4,0.48326029290033023
PL_AAIndex1_488,0.48307775737046743
PL_AAIndex1_355,0.4820017556124747
PL_CTDC_32,0.48172500525684114
PL_AAIndex1_102,0.4817155575758836
D.1,0.48154668427577896
PL_AAIndex1_88,0.48146183809419263
AF1,0.480846683859661
PL_CTDC_3,0.4785034295962065
PL_CTDC_11,0.47827079271805184
PL_CTDC_6,0.47814755187032576
PL_AAIndex1_383,0.47781261316250445
PL_AAIndex1_313,0.47752893792859386
PL_PAAC_7,0.4773826275127169
PL_PAAC_0,0.4770808731699794
PL_AAIndex1_184,0.4769296971612791
