timestamp,file_name,name,featureset,split,version,description,shape
2025-04-29 09:37:16,X_train_full_train_v1.npy,X_train,full,train,v1,"Training feature matrix (unscaled, full features)","(544, 4922)"
2025-04-29 09:37:16,X_test_full_test_v1.npy,X_test,full,test,v1,"Testing feature matrix (unscaled, full features)","(137, 4922)"
2025-04-29 09:37:17,X_eval_full_eval_v1.npy,X_eval,full,eval,v1,"Evaluation feature matrix (unscaled, full features)","(171, 4922)"
