Feature,CV_Accuracy
PL_AAIndex1_399,0.3451266638042078
PL_AAIndex1_407,0.34510519536281664
PL_AAIndex1_408,0.34215328467153283
PL_QSO_SW_1,0.3421318162301417
PL_AAIndex1_119,0.34066122799484755
PL_CTDC_9,0.3392657793044225
PL_CTDC_31,0.3392335766423358
PL_AAIndex1_234,0.33777372262773725
PL_AAIndex1_506,0.33630313439244314
PL_CTDT_24,0.3362924001717475
PL_AAIndex1_65,0.3348540145985402
PL_AAIndex1_388,0.33484328037784455
PL_AAIndex1_126,0.33484328037784455
PL_AAIndex1_171,0.33481107771575785
PL_AAIndex1_316,0.33337269214255044
PL_AAIndex1_512,0.33337269214255044
PL_CTDT_17,0.33334048948046374
PL_AAIndex1_128,0.3319128381279519
PL_AAIndex1_85,0.33190210390725633
AF1,0.33189136968656074
PL_AAIndex1_67,0.33188063546586516
PL_AAIndex1_100,0.33185916702447404
PL_AAIndex1_212,0.33045298411335333
T2,0.3304315156719622
PL_AAIndex1_529,0.3304315156719622
PL_AAIndex1_510,0.3304315156719622
PL_AAIndex1_251,0.3304315156719622
PL_AAIndex1_86,0.33042078145126663
PL_CTDC_26,0.33042078145126663
PL_CTDC_37,0.33042078145126663
PL_CTDC_15,0.33042078145126663
ST2,0.33038857878917993
PL_AAIndex1_367,0.3303885787891799
PL_AAIndex1_69,0.3289716616573637
PL_AAIndex1_247,0.3289609274366681
PL_AAIndex1_66,0.3289609274366681
PL_AAIndex1_113,0.3289609274366681
PL_AAIndex1_481,0.32893945899527693
PL_AAIndex1_33,0.3275010734220696
PL_AAIndex1_516,0.327490339201374
PL_AAIndex1_359,0.327490339201374
PL_AAIndex1_483,0.3274796049806784
D.1,0.32745813653928724
PL_CTDC_32,0.32745813653928724
PL_AAIndex1_88,0.32745813653928724
PL_AAIndex1_460,0.3274474023185917
PL_AAIndex1_402,0.32744740231859165
PL_AAIndex1_209,0.326041219407471
PL_AAIndex1_127,0.32603048518677546
PL_AAIndex1_319,0.3260304851867754
PL_AAIndex1_130,0.3260197509660799
PL_AAIndex1_313,0.3260090167453843
PL_CTDT_8,0.32599828252468865
PL_AAIndex1_24,0.3259875483039932
PL_AAIndex1_129,0.3245384285100902
PL_AAIndex1_317,0.3245384285100902
PL_AAIndex1_355,0.3245384285100902
PL_AAIndex1_152,0.3245384285100902
PL_AAIndex1_114,0.3245276942893946
PL_CTDT_32,0.3245276942893946
PL_QSO_SW_3,0.32448475740661226
PL_CTDC_6,0.32310004293688277
PL_AAIndex1_354,0.32308930871618724
PL_AAIndex1_511,0.3230893087161872
Gravy,0.32307857449549165
PL_AAIndex1_507,0.32307857449549165
PL_AAIndex1_515,0.32307857449549165
PL_AAIndex1_150,0.32307857449549165
PL_AAIndex1_205,0.3230785744954916
PL_AAIndex1_70,0.32306784027479607
PL_AAIndex1_461,0.3230463718334049
PL_CTDC_36,0.32162945470158866
PL_AAIndex1_387,0.32159725203950196
PL_AAIndex1_463,0.32159725203950196
PL_AAIndex1_489,0.32159725203950196
PL_AAIndex1_140,0.32158651781880637
PL_AAIndex1_464,0.32015886646629454
SV2,0.32015886646629454
PL_AAIndex1_110,0.320148132245599
PL_AAIndex1_233,0.32013739802490343
PL_QSO_SW_17,0.32012666380420784
PL_AAIndex1_435,0.32012666380420784
KF3,0.3201159295835122
E,0.3201159295835122
PL_AAIndex1_326,0.3186453413482181
C,0.3186453413482181
PL_AAIndex1_381,0.3172391584370975
PL_AAIndex1_446,0.3172284242164019
KF4,0.31720695577501073
PL_AAIndex1_508,0.31720695577501073
PL_AAIndex1_445,0.31720695577501073
PL_AAIndex1_240,0.31720695577501073
PL_AAIndex1_452,0.31719622155431515
PL_CTDD_15,0.3171854873336196
PL_AAIndex1_102,0.31717475311292403
PL_AAIndex1_244,0.3157685702018034
PL_CTDT_36,0.3157578359811078
PL_AAIndex1_241,0.3157471017604122
PL_AAIndex1_10,0.3157363675397166
PL_AAIndex1_208,0.3157363675397166
SVGER8,0.3157363675397166
PL_AAIndex1_386,0.3157148990983255
PL_AAIndex1_466,0.31429798196650915
PP1,0.3142657793044225
PL_AAIndex1_513,0.3142657793044225
VSTPV3,0.3142657793044225
PL_AAIndex1_198,0.3142657793044225
PL_AAIndex1_514,0.314255045083727
PL_AAIndex1_448,0.314255045083727
PL_CTDD_155,0.3142550450837269
PL_CTDD_190,0.3142550450837269
PL_CTDD_70,0.3142550450837269
PL_CTDD_40,0.3142550450837269
PL_CTDD_120,0.3142550450837269
PL_AAIndex1_380,0.3142550450837269
PL_CTDD_20,0.3142550450837269
PL_CTDD_165,0.3142550450837269
PL_CTDD_115,0.3142550450837269
PL_CTDD_85,0.3142550450837269
PL_CTDD_95,0.3142550450837269
PL_CTDD_145,0.3142550450837269
PL_CTDD_55,0.3142550450837269
PL_CTDD_5,0.3142550450837269
PL_AAIndex1_34,0.31425504508372687
PL_AAIndex1_467,0.31424431086303134
PL_AAIndex1_224,0.3142443108630313
VSTPV5,0.31423357664233575
PL_AAIndex1_356,0.3142228424216402
PL_AAIndex1_274,0.31422284242164017
PD2,0.312805925289824
PL_AAIndex1_242,0.31279519106912834
PL_AAIndex1_403,0.3127737226277373
PL_AAIndex1_302,0.3127737226277372
PL_AAIndex1_405,0.31276298840704164
PL_AAIndex1_419,0.31276298840704164
PL_AAIndex1_278,0.31136753971661657
PL_AAIndex1_465,0.31136753971661657
PL_AAIndex1_298,0.311356805495921
T4,0.311356805495921
PL_AAIndex1_27,0.3113246028338343
PL_CTDT_10,0.3113246028338343
PL_AAIndex1_447,0.31132460283383423
PL_AAIndex1_29,0.31127093173035636
PL_CTDC_12,0.30989695148132246
PL_AAIndex1_243,0.30988621726062693
PL_AAIndex1_279,0.3098862172606269
PL_AAIndex1_169,0.30986474881923576
PL_AAIndex1_325,0.3098647488192357
MSWHIM1,0.3098432803778446
PL_AAIndex1_56,0.309832546157149
GD.1,0.30981107771575783
PL_AAIndex1_138,0.30838342636324606
PL_CKSAAP_260,0.308383426363246
PL_CKSAAP_343,0.308383426363246
PL_AAIndex1_293,0.308383426363246
PL_AAIndex1_476,0.308383426363246
PL_AAIndex1_91,0.30836195792185483
PL_AAIndex1_122,0.3083512237011593
PL_CKSAAP_342,0.3083512237011593
PL_AAIndex1_342,0.3083512237011593
PL_AAIndex1_420,0.30695577501073423
PL_AAIndex1_183,0.30693430656934306
PL_AAIndex1_488,0.306934306569343
PL_AAIndex1_9,0.306934306569343
PL_AAIndex1_76,0.3069128381279519
D,0.3068913696865607
PL_AAIndex1_147,0.3068913696865607
PL_AAIndex1_404,0.30688063546586514
ProtFP4,0.3068699012451696
PL_CTDT_37,0.305463718334049
PL_AAIndex1_528,0.3054637183340489
PL_AAIndex1_530,0.3054637183340489
VHSE4,0.3054637183340489
PL_AAIndex1_146,0.3054529841133533
BLOSUM1,0.3054422498926578
PL_AAIndex1_527,0.3054422498926578
BLOSUM2,0.3054315156719622
PL_CKSAAP_163,0.30542078145126667
PL_AAIndex1_163,0.3054207814512666
PL_CTDC_30,0.3040360669815372
PL_AAIndex1_99,0.30398239587805925
PL_AAIndex1_421,0.30397166165736367
PL_AAIndex1_2,0.30397166165736367
PL_AAIndex1_486,0.30397166165736367
PL_AAIndex1_210,0.30397166165736367
PL_AAIndex1_38,0.30396092743666814
PL_AAIndex1_12,0.3039609274366681
PL_AAIndex1_217,0.3039394589952769
PL_AAIndex1_213,0.3025225418634607
PL_AAIndex1_353,0.30252254186346067
PL_CTDD_90,0.30251180764276514
PL_AAIndex1_412,0.30251180764276514
PRIN1,0.3025118076427651
PL_AAIndex1_449,0.30250107342206956
VHSE1,0.30250107342206956
MSWHIM2,0.30249033920137397
PL_AAIndex1_68,0.30249033920137397
PL_AAIndex1_168,0.3024903392013739
PL_AAIndex1_19,0.3024796049806784
PL_PAAC_13,0.30246887075998286
PL_CKSAAP_329,0.30245813653928727
DD.1,0.3024581365392872
PL_AAIndex1_393,0.3010734220695578
PL_AAIndex1_320,0.30106268784886214
H.1,0.3010412194074711
