Feature,ReliefF_score
PL_AAIndex1_433,0.39211799984297263
PL_AAIndex1_387,0.390403567039302
PL_AAIndex1_110,0.3889171427992341
PL_AAIndex1_66,0.38699020428309644
PL_AAIndex1_435,0.38405250916385847
PL_AAIndex1_70,0.3792426026689422
PL_AAIndex1_183,0.3783558753285763
PL_CTDT_32,0.37807872694262656
PL_AAIndex1_516,0.37682612768749923
F1,0.37466180782965075
PL_AAIndex1_489,0.37393047777113486
Gravy,0.37236156593674646
PL_AAIndex1_150,0.37236156593674646
PL_AAIndex1_452,0.3720102163629964
PL_AAIndex1_445,0.3719457562904511
PL_AAIndex1_483,0.3714926405904729
BLOSUM1,0.3698558756143113
PL_AAIndex1_515,0.36951844201245454
PL_AAIndex1_424,0.3694871980112621
PL_AAIndex1_29,0.3687334215720151
Flexibility,0.3686515342794249
PL_CTDC_6,0.3681090157162147
PL_AAIndex1_446,0.36780469078024075
PL_AAIndex1_355,0.3675362523913752
PL_AAIndex1_488,0.3672700512344487
PL_AAIndex1_447,0.36703246923083505
PL_AAIndex1_396,0.36699345439728753
PL_AAIndex1_177,0.36606662984783567
PL_AAIndex1_514,0.3658589886776722
PL_AAIndex1_242,0.3646738298085728
PL_AAIndex1_129,0.364372091839641
PL_AAIndex1_76,0.36320894424556255
PL_AAIndex1_214,0.3629021535517718
PL_AAIndex1_448,0.3628988437794952
PL_AAIndex1_209,0.3628050596320667
PL_AAIndex1_389,0.3620195458832866
PL_AAIndex1_182,0.36191448535895415
PL_AAIndex1_353,0.36176830873748217
AF1,0.3616040880512899
PL_AAIndex1_247,0.3613232482451748
PL_AAIndex1_527,0.36111579746398886
PL_AAIndex1_114,0.36088671207464607
VHSE1,0.36086741479486156
ProtFP1,0.3608097547208049
PL_AAIndex1_528,0.3605463574961483
PL_AAIndex1_65,0.35987782518572015
PL_AAIndex1_476,0.35987693768299567
PL_AAIndex1_251,0.35977054887166926
PL_AAIndex1_529,0.35968925799436086
PL_AAIndex1_88,0.3596391614305496
D.1,0.3596391614305496
PL_CTDC_32,0.3596391614305496
PL_AAIndex1_210,0.359530203450813
PL_AAIndex1_481,0.35891772551660467
PL_AAIndex1_526,0.3587705702310901
PL_AAIndex1_9,0.3586937795071101
PL_AAIndex1_326,0.3583388870080371
PRIN1,0.35811708922642255
PL_AAIndex1_127,0.3578747656546801
PL_AAIndex1_298,0.35783442247399744
PL_AAIndex1_238,0.3577352783496936
PL_AAIndex1_10,0.3572531534349408
PL_AAIndex1_509,0.3569119056335593
PL_AAIndex1_438,0.35684135946376005
PL_AAIndex1_501,0.3564353130332517
E1,0.35618036134066383
PL_AAIndex1_56,0.355709153846088
PL_AAIndex1_383,0.35407521065872233
PL_AAIndex1_460,0.3537002038897236
PL_AAIndex1_478,0.35311398423130064
VHSE5,0.35287855408758984
PL_ATC_atoms_3,0.352712165921326
PL_AAIndex1_147,0.3522510511302287
PL_AAIndex1_518,0.35197908749818585
PL_AAIndex1_241,0.3518852228566568
PL_AAIndex1_461,0.35164814012033296
PL_AAIndex1_297,0.35148749597666545
PL_AAIndex1_34,0.3510406192787946
PL_AAIndex1_184,0.3509421137026655
PL_AAIndex1_320,0.3500414826971992
Z1,0.3498706188078795
PL_AAIndex1_530,0.34974796820471904
PL_AAIndex1_3,0.3494452172685768
PL_AAIndex1_55,0.3492864647979278
PL_AAIndex1_152,0.34898692305317663
PL_AAIndex1_522,0.34796294986797155
PL_AAIndex1_148,0.34788625479359103
PD2,0.3476844901050873
PL_AAIndex1_484,0.34767801760719513
PL_CTDC_3,0.3473672153482562
PL_CTDC_11,0.3473672153482562
PL_AAIndex1_525,0.3470652745241575
PL_AAIndex1_524,0.3470567701407099
PL_AAIndex1_425,0.34607200163263674
PL_AAIndex1_519,0.34493266925747107
PL_AAIndex1_313,0.3442254152514868
PL_AAIndex1_275,0.3436437916497527
PL_AAIndex1_102,0.3434882815537509
PL_AAIndex1_217,0.3431865114649316
PL_AAIndex1_437,0.34282719159699476
PL_AAIndex1_486,0.3427556567328919
PL_AAIndex1_57,0.3426633108393375
PL_AAIndex1_482,0.34182808038312273
PL_AAIndex1_179,0.3414470405800468
PL_AAIndex1_220,0.34141425125499425
PL_AAIndex1_523,0.34138583801196537
MSWHIM2,0.34117106203863995
PL_AAIndex1_507,0.34065299179211395
PL_AAIndex1_426,0.3402886683636926
PL_AAIndex1_386,0.3400434961532793
PL_AAIndex1_513,0.3399485064160745
PL_AAIndex1_169,0.3395994684584399
PL_AAIndex1_181,0.33925948613554047
PL_AAIndex1_354,0.3392309404306446
PL_AAIndex1_520,0.33891533504905297
PL_AAIndex1_463,0.3388728147141395
PL_AAIndex1_212,0.3376837876349102
PL_AAIndex1_240,0.33705639783238783
PL_AAIndex1_54,0.3370149469786209
PL_AAIndex1_140,0.33675124475472235
PL_AAIndex1_142,0.3366307494374094
DG.1,0.3364387376811668
PL_AAIndex1_68,0.33615725899947313
PL_AAIndex1_364,0.3361354934585667
KF4,0.3359839777855656
PL_AAIndex1_508,0.3359839777855656
PL_AAIndex1_67,0.33579319686246334
PL_AAIndex1_218,0.3357267544713163
PL_AAIndex1_485,0.3355803457420447
PL_AAIndex1_449,0.335441480728007
PL_AAIndex1_101,0.33472559928691586
PL_AAIndex1_86,0.3342531764076662
PL_AAIndex1_2,0.3341467633735483
PL_AAIndex1_517,0.3341285637172647
PL_AAIndex1_130,0.33375630596695166
PL_CTDC_0,0.3334067611369659
PL_AAIndex1_239,0.33302427760783804
PL_APAAC_20,0.33298585742495695
